Name,parameters
BBa_K1486036,function:Tag;chassis:Saccharomyces Cerevisiae;color:NA;direction:Forward;function:NA;emission:NA;resistance:Kanamycin & chloramphenicol (backbone);emission:480;biology:NA;resistance:Uracil deprived medium;resistance:Chloramphenicol;color:Blue
BBa_K1642008,biology:NA;biology:cyanobacterium
BBa_K1642007,biology:NA;biology:E.coli
BBa_K258001,tag:NA
BBa_K265002,n/a:Proteolytic Cleavage Sequence
BBa_K258006,protein:NA
BBa_K330000,tag:NA
BBa_K387007,n/a:OmpA: An excretory signal peptide in bacteria
BBa_K638402,n/a:TorA tag variant
BBa_M0050,direction:Degradation
BBa_M0051,direction:Degradation
BBa_M0052,direction:Degradation
BBa_B0014,direction:Bidirectional;biology:T7TE-LuxIA;reverse_efficiency:0.86[JK];forward_efficiency:0.604[CC]/0.96[JK];reversed_version:2145
BBa_B0015,forward_efficiency:0.984[CC]/0.97[JK];chassis:E.coli;chassis:NA;direction:Forward;reverse_efficiency:0.295[CC]<BR>0.62[JK];biology:rrnBT1-T7TE;reversed_version:2146;reverse_efficiency:0.295[CC]/0.62[JK];forward_efficiency:0.984[CC]<BR>0.97[JK]
BBa_B0024,direction:Bidirectional;biology:(B0012.B0011) reversed;forward_efficiency:0.86[JK];reverse_efficiency:0.604[CC]/0.96[JK];reversed_version:200
BBa_B0011,forward_efficiency:0.419[CC]/0.95[JK];direction:Bidirectional;reverse_efficiency:0.636[CC]/0.86[JK];biology:LuxIA;n/a:Forward;reversed_version:585
BBa_B1001,reversed_version:NA;direction:Bidirectional;reverse_efficiency:NA;forward_efficiency:0.81[CH];biology:NA;n/a:Bi-directional
BBa_B0021,direction:Bidirectional;biology:LuxIA (rev);reversed_version:144;n/a:Reverse;forward_efficiency:0.636[CC]/0.86[JK];reverse_efficiency:0.419[CC]/0.95[JK]
BBa_B1002,direction:Forward;reversed_version:NA;reverse_efficiency:NA;forward_efficiency:0.98[CH];n/a:Forward;biology:NA
BBa_B1005,reversed_version:NA;forward_efficiency:0.86[CH];reverse_efficiency:NA;biology:NA;direction:Forward
BBa_B1003,reversed_version:NA;reverse_efficiency:NA;biology:NA;forward_efficiency:0.83[CH];direction:Forward
BBa_J61048,reversed_version:NA;biology:E. coli rnpB;reverse_efficiency:NA;direction:Forward;forward_efficiency:0.98[JCA]
BBa_B1006,reversed_version:NA;biology:NA;reverse_efficiency:NA;forward_efficiency:0.99[CH];direction:Forward
BBa_B1010,direction:Forward;reversed_version:NA;reverse_efficiency:NA;n/a:Forward;biology:NA;forward_efficiency:0.95[CH]
BBa_B1007,reversed_version:NA;direction:Bidirectional;reverse_efficiency:NA;forward_efficiency:0.83[CH];biology:NA;n/a:Bi-directional
BBa_B0025,biology:rrnBT1-T7TE (rev);forward_efficiency:0.295[CC]/0.62[JK];reversed_version:202;reverse_efficiency:0.984[CC]/0.97[JK];direction:Reverse
BBa_K731721,forward_efficiency:  0.915 +/-  0.008 with T7 promoter;            0.80 +/- 0.01 with pTAC;biology:T7 bacteriophage;direction:Forward;forward_efficiency:  0.915 +/-  0.008 with T7 promoter  0.80 +/- 0.01 with pTAC;forward_efficiency:  0.915 +/-  0.008 with T7 promoter;            0.80 +/- 0.01 with Ptac;forward_efficiency:0.976 +/- 0.005 with T7 promoter  0.985 +/- 0.001 with pTAC;biology:rrnBT1;biology:T7 phage
BBa_K731722,"forward_efficiency:0.976±0.005 with T7 promoter, 0.985±0.001 with pTAC;direction:NA;forward_efficiency:0.976 +/- 0.005 with T7 RNAP (T7 promoter)  0.985 +/- 0.001 with \textit{E. coli} RNAP (Ptac);direction:Forward;forward_efficiency:NA;forward_efficiency:0.976 +/- 0.005 with T7 RNAP (T7 promoter)  0.985 +/- 0.001 with E. coli RNAP (Ptac);biology:NA;forward_efficiency:0.976 +/- 0.005 with T7 promoter  0.985 +/- 0.001 with pTAC;forward_efficiency:0.976 +/- 0.005 with T7 promoter, 0.985 +/- 0.001 with pTAC;forward_efficiency:0.976 +/- 0.005 with T7 promoter  0.985 +/- 0.001 with Ptac;biology:rrnBT1"
BBa_K864600,biology:NA;forward_efficiency:0.97;forward_efficiency:0.98[CH];direction:Forward
BBa_K864601,biology:NA;forward_efficiency:0.97;direction:Forward
BBa_B0010,forward_efficiency:NA;biology:rrnBT1;reverse_efficiency:NA;reversed_version:582;direction:Forward
BBa_B0013,reversed_version:591;direction:Forward;forward_efficiency:0.6[CC];biology:T7TE  (+/-);reverse_efficiency:-1.06[CC]
BBa_B0016,"reversed_version:NA;biology:T7 RNAP, T_Phi;direction:Forward"
BBa_B0017,forward_efficiency:NA;reversed_version:NA;reverse_efficiency:NA;biology:rrnBT1x2;direction:Forward
BBa_B0023,reverse_efficiency:0.6[CC];forward_efficiency:-1.06[CC];biology:T7TE (rev);direction:Reverse;n/a:Reverse;reversed_version:146
BBa_B0012,reversed_version:590;forward_efficiency:0.309[CC];direction:Forward;reverse_efficiency:-0.368[CC];biology:T7TE
BBa_B1008,forward_efficiency:NA;direction:Bidirectional;reversed_version:NA;reverse_efficiency:NA;biology:NA
BBa_B1009,forward_efficiency:NA;direction:Bidirectional;reversed_version:NA;reverse_efficiency:NA;biology:NA
BBa_M36305,direction:NA;direction:Forward
BBa_B0022,direction:Reverse;reverse_efficiency:0.309[CC];forward_efficiency:-0.368[CC];biology:T7TE (rev);reversed_version:145;n/a:Reverse
BBa_B0051,direction:Bidirectional;biology:yciA/tonA;reversed_version:4081
BBa_B0020,reversed_version:603;biology:T1 (reversed);direction:Reverse
BBa_B0053,reversed_version:4083;biology:His;direction:Forward
BBa_B0050,direction:Bidirectional;biology:pBR322;reversed_version:4080
BBa_B0060,direction:Bidirectional;reversed_version:4076;biology:pBR322 (reversed)
BBa_B0061,direction:Bidirectional;biology:yciA/tonA (reversed);reversed_version:4077
BBa_B0063,reversed_version:4079;biology:His (reversed);direction:Reverse
BBa_B1004,reversed_version:NA;forward_efficiency:0.93[CH];reverse_efficiency:NA;biology:NA;direction:Forward
BBa_B0062,reversed_version:4078;biology:rrnC (reversed);direction:Reverse
BBa_J133421,n/a:Translational Stop Sequence 1:001
BBa_J133423,n/a:Translational Stop Sequence 3:011
BBa_J133422,n/a:Translational Stop Sequence 2:010
BBa_J133424,n/a:Translational Stop Sequence 4:100
BBa_J133425,n/a:Translational Stop Sequence 5:101
BBa_J133426,n/a:Translational Stop Sequence 6:110
BBa_J133427,n/a:Translational Stop Sequence 7:111
BBa_J176016,n/a:STOP
BBa_B0052,reversed_version:4082;biology:rrnC;direction:Forward
BBa_J52016,forward_efficiency:NA;biology:SV40 (early);reversed_version:NA;reverse_efficiency:NA;direction:Forward
BBa_J63002,forward_efficiency:NA;biology:T-ADH1;reversed_version:NA;reverse_efficiency:NA;direction:Forward
BBa_K1051006,n/a:Saccharomycescerevisiae TBY-1 terminator with stopcodon
BBa_K1051007,n/a:S. cerevisiae SSV7 terminator with stopcodon
BBa_K110012,forward_efficiency:NA;biology:STE2;reversed_version:NA;reverse_efficiency:NA;direction:Forward
BBa_K1486025,chassis:Saccharomyces Cerevisiae;function:Resistance;direction:Forward;biology:NA;chassis:Escherichia coli;function:Terminator
BBa_K2110000,chassis: Saccharomyces cerevisiae ;chassis:NA
BBa_K2127007,chassis:E.coli;direction:Forward;forward_efficiency:0.984[CC]<BR>0.97[JK];reverse_efficiency:0.295[CC]<BR>0.62[JK];forward_efficiency:Unkown;biology:rrnBT1-T7TE;forward_efficiency:Unknown;reverse_efficiency:Unknown
BBa_K364302,n/a:PolyA
BBa_K392003,n/a:yeast ADH1 terminator
BBa_K530006,n/a:BAP2 Yeast UTR
BBa_K809004,chassis:NA;chassis:Yeast Mitochondria
BBa_K809005,chassis:NA;chassis:Yeast Mitochondria
BBa_K809006,chassis:NA;chassis:Yeast Mitochondria
BBa_K864501,direction:NA;direction:Forward
BBa_M36010,forward_efficiency:NA;forward_efficiency:99% termination efficiency
BBa_K1033914,excitation:450 nm;emission:486 nm
BBa_K1033928,abs:597 nm
BBa_K1012005,n/a:GFP under control of an OmpR-responsive promoter
BBa_K1364015,n/a:Pveg + RFP
BBa_K1364016,n/a:PlepA + RFP
BBa_K176017,n/a:pCI(R0051)(lambda CI-)->RBS+GFP+T
BBa_K199051,n/a:pTet-RBS-RFP
BBa_K516030,n/a:mRFP protein generator TERM+ RBS+(B0030)
BBa_K516031,n/a:mRFP protein generator TERM+ RBS+(B0031)
BBa_K256029,"negative_regulators:1;excite:501;lum:NA;excitation:NA;protein:GFPmut3b;direction:Forward;o_h:NA;emission:NA;positive_regulators:NA;emit:511;o_l:NA;tag:None;biology:NA;control:IPTG, lacI"
BBa_K831017,n/a:PxpsR-EYFP
BBa_K861173,n/a:mRFP generator controlled by  PcstA (glucose-repressible promoter)
BBa_K516032,n/a:mRFP protein generator TERM+ RBS+(B0032)
BBa_K876046,signalling_molecule:NA
BBa_K1486048,device_type:NA;color:NA;chassis:NA;direction:NA;direction:Forward;excitation:NA;color:Red;emission:NA;excitation:555;device_type:reporter;resistance:NA;resistance:Chloramphenicol (backbone);biology:NA;chassis:Escherichia coli;emission:632
BBa_E0130,biology:NA;efficiency:NA;emission:Yellow;tag:None
BBa_E0241,excitation:NA;emission:Green;tag:None
BBa_E0438,excitation:NA;tag:LVA;emission:NA
BBa_E7104,excitation:NA;emission:Green;tag:None
BBa_I5101,excitation:NA;emission:yellow;tag:None
BBa_I5311,excitation:NA;emission:yellow;tag:None
BBa_K1020003,protein:NA
BBa_K1051282,n/a:The RFP with degradation tag M0052
BBa_K1051283,n/a:The RFP with degradation tag M0051
BBa_K1022100,excitation:NA;function:NA;biology:E.coli;emission:Green;function:Senses the Auto inducing peptides and emits Green fluroscence;tag:None;biology:NA;n/a:pBAD:AIP receiver:GFP:TT
BBa_K1051286,n/a:The GFP with degradation tag and terminator
BBa_K1051287,n/a:The GFP with degradation tag and terminator
BBa_K1151009,n/a:GFP nickel regulated 1
BBa_K1151010,n/a:GFP nickel regulated 2
BBa_K1151011,n/a:GFP nickel regulated 3
BBa_K1151038,"n/a:Double generator NikR-GFP, IPTG-nickel regulated"
BBa_K1151036,"n/a:Double generator NiKR -GFP, IPTG-nickel regulated;n/a:Double generator NikR-GFP, IPTG-nickel regulated"
BBa_K1333204,color:fluorescent green;color:NA
BBa_K1407026,n/a:detect the intensity of precA
BBa_K1442104,n/a:Reverse 5UTR with reverse GFP
BBa_K1486049,direction:reverse;function:reporter;excitation:555;function:Promoter;direction:forward;biology:NA;chassis:Escherichia coli;emission:632
BBa_K1486050,direction:reverse;function:reporter;excitation:NA;emission:NA;excitation:555;direction:forward;biology:NA;chassis:Escherichia coli;emission:632
BBa_K1520005,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;o_l:NA;biology:NA;control:IPTG, lacI"
BBa_K1520014,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;o_l:NA;biology:NA;control:aTc, tetracyline"
BBa_K1520010,"direction:Forward;o_h:NA;control:luxR, HSL;o_l:NA;negative_regulators:NA;positive_regulators:1"
BBa_K1523101,n/a:PyeaR->Riboflavin synthase
BBa_K1660005,chassis:NA;n/a:mRFP protein generator TERM+ RBS+(B0032);chassis:E. coli TOP10;chassis:E. coli DH5&#945;;resistance:NA;resistance:Chloramphenicol
BBa_K1688010,"excitation:554 nm;n/a:dTomato (inc RBS and J23101 promoter);emission:581 nm;n/a:dTomato (inc RBS, J23101 promoter);n/a:dTomato (inc RBS, J23101)"
BBa_K1688011,"n/a:dTomato (inc J23110);n/a:dTomato (inc RBS, J23110);emission:581 nm;n/a:dTomato (inc RBS, J23110 promoter);excitation:554 nm"
BBa_K1679003,emission:511nm;function:NA;excitation:501nm;chassis:E. coli K-12 DH5-alpha
BBa_K1725102,n/a:K1725020.K516030
BBa_K176002,"n/a:pLux/Tet(K176000)(LuxR+,TetR-)->GFP;n/a:pLux/Tet(K176000)(LuxR+,TetR-)->RBS+GFP+T"
BBa_K176005,n/a:pCon max(J23119)->RBS+GFP+T;n/a:pCon max(J23119)->GFP
BBa_K176011,n/a:pCon 1.0(J23100)->GFP;n/a:pCon 1.00(J23100)->RBS+GFP+T
BBa_K176012,n/a:pCon 0.70(J23101)->RBS+GFP+T
BBa_K176013,n/a:pCon 0.36(K176009)->RBS+GFP+T
BBa_K176014,n/a:pCon 0.15(K176008)->RBS+GFP+T
BBa_K176015,n/a:pCon 0.04(J23109)->RBS+GFP+T
BBa_K176016,n/a:pCon 0.01(J23103)->RBS+GFP+T
BBa_K1833000,emission:511nm;excitation:501nm;tag:None
BBa_K1833001,emission:511nm;excitation:501nm;tag:None
BBa_K177038,"device_type:NA;control:NA;chassis:NA;switch_point:Plac->cI lam switch in 42oC cI lam -> Plac in 0,1mM IPTG;control:IPTG and 42oC;function:NA;chassis:E. coli lacI deficient (i.e. Top10);negative_regulators:lacI and cIts;switch_point:NA;negative_regulators:NA;device_type:bistable switch;function:test device with GFP and RFP as reporters"
BBa_K1899001,excitation:399nm;excitation:NA;emission:NA;emission:456nm
BBa_K1909014,chassis:E. coli JW 3367-3
BBa_K1909013,chassis:E. coli JW 3367-3;chassis:NA
BBa_K191004,"input_s:Trp, LovTAP;protein_out:RFP;emission:NA;input_s:NA;negative_regulators:NA;emission:630nm;protein_out:NA"
BBa_K193603,n/a: GFP behind a constitutive promoter (placIQ) on pSB6A1
BBa_K1943000,color:Yellow
BBa_K1943001,color:Yellow
BBa_K191005,"input_s:Trp, LovTAP, ATc;positive_regulators:NA;protein_out:RFP;emission:NA;input_s:NA;emission:630nm;protein_out:NA"
BBa_K1943002,abs:577 nm
BBa_K1943003,abs:577 nm
BBa_K1943006,abs:560 nm;color:Pink
BBa_K1943007,abs:560 nm;color:Pink
BBa_K199019,n/a:pOmpC-RBS-GFP
BBa_K1899002,excitation:399nm;excitation:NA;emission:NA;emission:456nm
BBa_K199029,n/a:pBad-RBS-Tet
BBa_K199030,n/a:pBad-RBS-RFP
BBa_K199040,n/a:pOmpC-RBS-RFP
BBa_K199041,n/a:pOmpC (with intrinsic RBS)-RBS-RFP
BBa_K199043,n/a:pOmpC-RBS-Tet
BBa_K199050,n/a:pLacIQ-RBS-RFP
BBa_K199044,n/a:pLux-RBS-Tet
BBa_K1833002,emission:510nm;excitation:NA;emission:Green;emission:511nm;excitation:501nm;tag:None
BBa_K2023003,positive_regulators:NA;protein:Gaussia Luciferase;protein:NA
BBa_K2023016,excitation:NA;excitation:501;emission:NA;emission:511;protein:GFP;protein:NA
BBa_K215010,n/a:pLac+RBS+GFP with Secretion Signal and Streptavidin Binding Tags on GFP;n/a:pLac+RBS+GFP with Secretion Signal and Streptavidin Binding Tags
BBa_K223046,n/a:SoxR - SoxS - GFP Reporter;n/a:SoxR - SoxS - GFP
BBa_K223047,n/a:SoxR - SoxS - GFP Reporter with Lac Promoter;n/a:SoxR - SoxS - GFP with Lac Promoter
BBa_K228010,n/a:LuxR-LuxP-GFP
BBa_K228013,n/a:(pSal PO) OR Gate - GFP
BBa_K228099,n/a:T7 promoter+strong RBS+GFP
BBa_K228821,n/a:lacP(R0010)+GFP(E0840)
BBa_K228862,n/a:salP-GFP
BBa_K228850,n/a:PO-GFP;n/a:NA;n/a:test;n/a:PO_GFP
BBa_K228098,n/a:T7 promoter+medium RBS+GFP
BBa_K242052,n/a:RFP+Kanamycin+Ter
BBa_K239010,n/a:Stress Light GFP Anaerobic Metabolism Detector
BBa_K256002,excite:501;protein:GFPmut3b;lum:NA;excitation:NA;positive_regulators:NA;emission:NA;emit:511;negative_regulators:NA;tag:None
BBa_K259006,excite:501;forward_efficiency:0.604[CC]/0.96[JK];protein:GFPmut3b;excitation:NA;lum:NA;direction:Bidirectional;emission:NA;emit:511;biology:T7TE-LuxIA;reversed_version:2145;tag:None;reverse_efficiency:0.86[JK]
BBa_K270003,n/a:Pu GFP
BBa_K270004,n/a:Pr XylR Pu GFP
BBa_K256033,chassis:NA;device_type:NA;direction:NA;excitation:684nm;positive_regulators:NA;excitation:NA;emission:NA;device_type:reporter;chassis:E.Coli K12;negative_regulators:NA;direction:forward;emission:708nm
BBa_K292004,forward_efficiency:0.604[CC]/0.96[JK];rbs:NA;o_h:NA;direction:Bidirectional;biology:T7TE-LuxIA;protein:kanamycin resistance protein;reversed_version:2145;tag:None;reverse_efficiency:0.86[JK]
BBa_K315000,n/a:pBAD-RBS-RFP
BBa_K315008,n/a:pLacI-RBS-RFP
BBa_K316004,"n/a:Functional XylE under J23101 promoter, with double terminator"
BBa_K315003,n/a:pLac+RBS+TetA+RBS+RFP
BBa_K315048,n/a:pLac+RBS+RFP+RBS+TetA
BBa_K352011,n/a:pCooM Promoter coupled with RBS+RFP+Double terminator;ligands:CO bound cooA;ligands:NA;excitation:NA;emission:510 nm;emission:NA;output:NA;output:RFP;excitation:395 nm;excitation:510;emission:395 nm
BBa_K228861,n/a:OR Gate-GFP
BBa_K407008,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;efficiency:1;o_l:NA;biology:NA;control:aTc, tetracyline"
BBa_K518001,emission:NA;emission:480nm
BBa_K518000,emission:NA;emission:556nm
BBa_K624021,n/a:pYMBG (rbs: Pmsp3) essentials
BBa_K676013,n/a:Mu/Spy Ligation
BBa_K786010,receiver:NA;output:NA
BBa_K817033,n/a:PfadBA-RBS-mRFP;n/a:PfadBA-mRFP
BBa_K817013,n/a:pCI(OL1-OR1)-mRFP;n/a:pCI(OR1-OL1)-mRFP;n/a:Design2-mRFP
BBa_K861176,n/a:mRFP expressed after Pcar
BBa_T4002,chassis:E. coli;negative_regulators:lambda cl;negative_regulators:NA;chassis:NA
BBa_K346000,negative_regulators:Bacterial RNA polymerase inhibitor from T3 phage;n/a:RBS(B0032)+T3 RNA polymerase;origin:Enterobacteria phage T3 (Bacteriophage T3);family:Phage and mitochondrial RNA polymerase family;family:NA;rbs:NA;origin:NA;function:NA;rbs:Medium;uniprot:P07659;biology:Orthogonal to T7 polymerase/T7 promoter pair;function:DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.;n/a:MerR(mercury responsive regulator);family:phage and mitochondrial RNA polymerase family;negative_regulators:NA;uniprot:NA;biology:NA;negative_regulators:Bacterial RNA polymerase inhibitor;n/a:RBS(B0032)+T3 DNA-directed RNA polymerase
BBa_I15040,protein:TetR;tag:None;direction:Forward
BBa_K772007,"function:Signal Amplification;device_type:NA;device_type:Quorum Sensing;activation_coeficient:TEV Protease;proteins:GFP, LasR;proteins:NA;target:NA;function:NA;chassis:E.coli TOP10 strain;device_type:Reporter;function:Regulatory;target:pLas;activation_coeficient:NA"
BBa_K1520501,direction:Forward;swisspro:P12746;tag:None;function:Mixed;ligands:HSL;protein:LuxR
BBa_K1520502,"direction:Forward;protein:LacI;tag:LVA;function:Rep;ligands:allolactose, IPTG;swisspro:P03023"
BBa_K1520503,direction:Forward;ligands:RecA;tag:LVA;protein:CI lambda;swisspro:P03034;function:Rep
BBa_K1520505,ligands:tetracycline;direction:Forward;protein:TetR;tag:LVA;function:Rep;swisspro:P04483
BBa_C0261,tag:LVA;protein:luxI;direction:Forward
BBa_K1520504,direction:Forward;protein:luxI-LVA;ec_num:none;kegg:none;uniprot:P48445;tag:LVA;swisspro:P12747
BBa_I15017,excitation:NA;emission:yellow;tag:None
BBa_I15016,excitation:NA;emission:cyan;tag:None
BBa_K190019,n/a:fMT ;function:binding of metal ions;function:NA
BBa_K228803,n/a:RBS(B0034)+lacI(C0012)
BBa_K228809,n/a:RBS(B0034)+tetR(C0040)
BBa_K516012,n/a:luxI protein generator TERM- RBS+(B0032)
BBa_K538101,function:Protein chaperone;function:Construction intermediate
BBa_K538104,function:Construction intermediate
BBa_K567012,chassis:Escherichia coli;chassis:NA
BBa_K567013,chassis:Escherichia coli;chassis:NA
BBa_K567015,chassis:NA;function:animo acylate tRNA(Met);ligands:NA;function:NA;ligands:Isopropyl &#946;-D-1-Thiogalactopyranoside (IPTG);chassis:ER2566
BBa_K567016,chassis:Escherichia coli;chassis:NA
BBa_K1364002,n/a:RBS - Antifungal GAFP-1
BBa_K1364000,n/a:N-acetylatedGlucosamine based chemotaxis for Bacillus subtilis
BBa_K1497011,n/a:B0034-ANS
BBa_K1497013,n/a:B0034-DFR
BBa_C0260,protein:aiiA;tag:LVA;direction:Forward
BBa_K228801,n/a:RBS(B0030)+lacI(C0012)
BBa_K228802,n/a:RBS(B0032)+lacI(C0012)
BBa_K228804,n/a:RBS(J61100)+lacI(C0012)
BBa_K228805,n/a:RBS(J61107)+lacI(C0012)
BBa_K228806,n/a:RBS(J61127)+lacI(C0012)
BBa_K228807,n/a:RBS(B0030)+tetR(C0040)
BBa_K228808,n/a:RBS(B0032)+tetR(C0040)
BBa_K228811,n/a:RBS(J61107)+tetR(C0040)
BBa_K228810,n/a:RBS(J61100)+tetR(C0040)
BBa_K228864,n/a:RBS(B0034)-mutated PhiR73 delta(K228863)
BBa_K228032,n/a:RBS and AraC coding sequence
BBa_K228033,n/a:RBS and AraC coding sequence
BBa_K228034,n/a:RBS and AraC coding sequence
BBa_K228035,n/a:RBS and AraC coding sequence
BBa_K228036,n/a:RBS and AraC coding sequence
BBa_K228037,n/a:RBS and AraC coding sequence
BBa_K218026,tag:NA;protein:aiiA;direction:NA;direction:Forward;tag:No tag;protein:NA
BBa_J102000,n/a:RBS+GFP with LVA tag 
BBa_K371000,n/a:pduJK(Propanediol utilization gene J+K)[RBS+pduJ+RBS+pduK];origin:NA;origin:Citrobacter Freundii
BBa_K371001,origin:Citrobacter Freundii
BBa_K371003,n/a:pduAB+pduJK
BBa_K371004,n/a:pduN(Propanediol utilization gene N)[RBS+pduN]
BBa_K371006,n/a:pduN+pduTUV
BBa_K371007,n/a:pduAB+pduJK+pduN+pduTUV
BBa_K371005,n/a:pduTUV(Propanediol utilization gene T+U+V)[RBS+pduT+RBS+pduU+RBS+pduV];origin:Citrobacter Freundii
BBa_K346001,n/a:RBS (B0034) + MerR (mercury-responsive transcription factor);chassis:NA;chassis:Device has been shown to work in DH5&#945;.
BBa_K346003,n/a:RBS(B0032)+MBP(mercury metal binding peptide engineered from MerR);n/a:RBS(B0032)+MBP(mercury binding peptide);n/a:RBS(B0032)+mbp(mercury binding peptide);n/a:RBS(B0032)+MBP(mercury metal binding peptide engineered from MerR));n/a:RBS(B0034)+mbp(metal binding peptide)+terminator(B0015)
BBa_K317018,n/a:RBS-Antigen 43
BBa_K371035,n/a:MPF(meta-prefix)+pduN+RBS+pduU+MSF(meta-suffix)
BBa_K371036,n/a:MPF(meta-prefix)+pduN+RBS+pduT+MSF(meta-suffix)
BBa_K557001,ligands:Theophylline;ligands:NA
BBa_K581021,n/a:RBS+afsA
BBa_K567002,chassis:Escherichia coli;chassis:NA;function:UV induced tRNA expression;function:NA
BBa_K567011,chassis:NA;ligands:NA;function:IPTG induced tRNA expression;function:NA;ligands:Isopropyl &#946;-D-1-Thiogalactopyranoside;function:Express tRNA(Arg);n/a:PT7-TDRS;function:animo acylate tRNA(Asp);ligands:Isopropyl &#946;-D-1-Thiogalactopyranoside (IPTG);function:IPTG stimulating tRNA(Arg) expression;chassis:ER2566
BBa_K567014,chassis:NA;function:animo acylate tRNA(Met);ligands:NA;function:NA;ligands:Isopropyl &#946;-D-1-Thiogalactopyranoside (IPTG);chassis:ER2566
BBa_K861044,n/a:FadI with a RBS
BBa_K1100012,"negative_regulators:1;rbs:1;control:RNA-IN S1;rbs:NA;direction:Forward;origin:NA;biology:NA;origin:Escherichia coli;ligands:RecA;control:RNA-OUT S1;negative_regulators:RNA-OUT S1;tag:LVA;protein:CI lambda;swisspro:P03034;function:Rep;negative_regulators:RNA-IN S1;control:IPTG, lacI"
BBa_K1497002,n/a:B0034-sANS (short anthocyanidin synthase with strong RBS)
BBa_K1497012,n/a:B0034-F3H
BBa_K1497004,n/a:B0034-CHS - Chalcone Synthase from Gerbera with strong RBS
BBa_K1587000,chassis:NA;rbs:NA;rbs:RBS.1 (strong) -- modified from R. Weiss;protein:Heme oxygenase 1;chassis:E. coli;protein:NA
BBa_K1639007,n/a:DAMP-Pexiganan
BBa_K1688003,n/a:RhlB Gene
BBa_K1639019,n/a:Ribosome Reinitiation Unit
BBa_K2078000,chassis:NA;chassis:Synechocystis sp. PCC6803
BBa_K2084001,protein:NA
BBa_E0021,excitation:NA;emission:CFP;biology:NA;tag:None
BBa_K993000,chassis:E.coli;negative_regulators:Cold;positive_regulators:Heat;function:Heat Regulatable;protein:RFP;rbs:RNA thermometer
BBa_K993003,chassis:E.coli;negative_regulators:Cold;positive_regulators:Heat;function:NA;function:Heat Regulatable;protein:RFP;function:Urease production; cooling down the environment;rbs:RNA thermometer
BBa_K993002,chassis:NA;chassis:E.coli;rbs:NA;negative_regulators:Cold;positive_regulators:NA;positive_regulators:Heat;function:NA;function:Heat Regulatable;protein:RFP;negative_regulators:NA;rbs:RNA thermometer;n/a:IbpB RNA Thermometer with RFP;protein:NA
BBa_K190020,n/a:MymT
BBa_K228812,n/a:RBS(J61127)+tetR(C0040)
BBa_K190021,n/a:SmtA
BBa_K193205,n/a:TmTHP with EGFP for fusion of Anti-Freeze Protein and RBS
BBa_K515001,resistance:chloramphenicol;origin:P. savastanoi;input_s:Indole acetamide;output:indole-3-acetic acid ;chassis:E. coli DH5&#945;;input_s:tryptophan;device_type:pathway
BBa_K515000,output:Indole acetamide;resistance:chloramphenicol;origin:P. savastanoi;output:indole-3-acetic acid ;chassis:E. coli DH5&#945;;input_s:tryptophan;device_type:pathway
BBa_K515002,device_type:Chemotaxis receptor;ligands:Malate;chassis:E. coli DH5&#945;;origin:P. aeruginosa;resistance:Chloramphenicol
BBa_K515004,chassis:NA;strain:NA;origin:Bba_K112808;origin:NA;target:NA;target:T4 Holin;chassis:Escherichia coli;strain:NEB DH5&#945;;resistance:NA;protein:T4 Anti-holin;resistance:Chloramphenicol;protein:NA
BBa_K515005,resistance:Chloramphenicol;device_type:Fluorescent reporter;chassis:E. coli DH5&#945;;protein:K515005
BBa_K538100,function:Protein cochaperone;function:Construction intermediate
BBa_K538102,function:Construction intermediate
BBa_K538103,function:Construction intermediate
BBa_K567022,n/a:PT7-Luc-2AGG-tRNA(Arg)
BBa_K567025,n/a:PT7-Luc-8AGG-tRNA(Arg)
BBa_K861043,n/a:FadA with a RBS
BBa_K772001,"target:EpCAM antigen;device_type:Receptor/Signal Activator;ligands:EpCAM antigen;chassis:E.coli TOP10 strain;proteins:TEVp C term., OmpA, CD215 antibody;function:Detection/Signalling;proteins:TEVp N term., TEVp C term., OmpA, CD215 antibody"
BBa_K772002,"target:EpCAM antigen;device_type:Receptor/Signal Activator;ligands:EpCAM antigen;chassis:E.coli TOP10 strain;proteins:TEVp N term., OmpA, CD215 antibody;function:Detection/Signalling;proteins:TEVp N term., TEVp C term., OmpA, CD215 antibody"
BBa_K772003,device_type:NA;chassis:NA;device_type:Protease;function:NA;chassis:E.coli TOP10 strain;function:Cleavage
BBa_K772006,function:Signal Amplification;device_type:Reporter;activation_coeficient:TEV Protease;chassis:E.coli TOP10 strain
BBa_K1058002,n/a:Translational unit of penicillinase repressor blaI
BBa_K1202000,efficiency:NA
BBa_K1497003,n/a:B0034-CHI -  Chalcone Isomerase from Petunia with strong RBS
BBa_K358000,n/a:Lac promoter with GFP
BBa_K358001,n/a:Measurement Standard
BBa_K516130,"n/a:Constitutive promoter [J23101] with mRFP, RBS B0030"
BBa_K516132,"n/a:Constitutive promoter [J23101] with mRFP, RBS B0032"
BBa_K1051289,n/a:J63006+K1051200+k1051060
BBa_K950006,family:PAQR superfamilie;family:PAQR superfamily;family:NA
BBa_J100049,positive_regulators:NA;negative_regulators:NA
BBa_J100199,n/a:Fitness Gene Tester + LVA degradation tag
