Year,Team,SimpleDescription
2012,OUC-China,"Their projects focus on warning and countermeasure against red tide. A precise sensor and an effective processor is coming to solve it. N/P is recognized as the key indicator and floatable E.coli is needed for survival. 
",
2012,SJTU-BioX-Shanghai,They aim at constructing a set of protein systems on the E.coli cell membrane as carriers of enzymes of assorted reactions.,
2012,Cambridge,They aim to bridge this gap at all points by developing a standardised ratiometric luciferase output in a Bacillus chassis. This output can be linked up with prototyped instrumentation and software for obtaining reliable quantified results. ,
2012,Slovenia,"They aim to develop a safe and cost-effective biological delivery system for biopharmaceuticals, which would increase the quality of patients' lives, because it would minimize the number of required procedures. ",
2012,IIT_Madras,They aim to express codon-optimized ligand binding domain of Estrogen Receptor in conjugation with the ToxR DNA binding domain from Vibrio cholerae in E. coli to separate stereoisomers that have profoundly different impacts on biological systems.,
2012,HKUST-Hong_Kong,"They aim to use genetically modified Bacillus subtilis to execute targeted drug delivery to cancer cells in the digestive tract, offering an advantage of generating minimal adverse effect on normal colon epithelial cells. ",
2012,Buenos_Aires,They aimed to create a stable community of microorganisms that could be used as a standard tool. And their system would allow the co-culture of several genetically engineered machines in tunable proportions.,
2012,Caltech,They aimed to develop a system capable of converting recalcitrant biopolymers into substrates for biofuel synthesis. Besides they also improved the spatial and temporal control of bacterial behavior.,
2012,NTU-Taida,They aimed to utilize a microbe that responds to conditions in human body as an approach to administer smart peptide-based therapies. ,
2012,Calgary,"They aims to alleviate this potential environmental and economic threat by developing a detection and bioremediation system for toxins: FRED (Functional, Robust Electrochemical Detector) and OSCAR (Optimized System for Carboxylic Acid Remediation). ",
2012,HKU_HongKong,They aims to introduce an acyl homoerine lactone (AHL)-degrading genetic system into the non-biolfilm-forming and non-virulent BL21 Escherichia coli strain. ,
2012,SYSU-China,They are constructing a model of an asymmetric cell differentiation to maintain a stable system for the unstable situation when  homologous cells with higher growth rate could gain the upper hand in numbers and then replace the slotheyr ones.,
2012,JUIT-India,They are dealing with the conversion of nitrous oxide into nitrate form using synthetic biology tools to insert two genes into a bacterial cassette along with its detection systems. ,
2012,Tsinghua-D,They are trying to deliver an idea that metabolic controllers responded to given temperatures can be designed. And they create several regulatory RNAs as thermal metabolic controller for demonstration.,
2012,LMU-Munich,They chose to work with Bacillus subtilis to set new horizons and offer tools for this model organism to the Escherichia coli-dominated world of iGEM. ,
2012,Fudan_D,They create a programmable time switch in yeast(Saccharomyces cerevisiae) employing the counting mechanism of telomere. ,
2012,Amsterdam,"They created an innovative DNA-methylation based reporter system in E. coli, named Cellular Logbook, that has the potential of simultaneously reporting on significantly more signals than current fluorescence-based systems (eg. GFP). 
",
2012,St_Andrews,"They created an Omega-3 biosynthetic pathway in E. coli, using genes from a Cyanobacterium. Additionally, specifically designed short peptide chains on the C-terminus of a GST fusion protein theyre expressed allowing the binding of precious and toxic metals.",
2012,Exeter,"they created biobricks for the biosynthesis of useful polysaccharides in Escherichia coli and synthesise a novel polymer sequence in E. coli by targeting endogenous polysaccharide biosynthesis.


",
2012,TU_Darmstadt,"They designed a bacterial recycling system that uses PET waste as a restheirce for synthesis of new chemical compounds. The proposed solution pursues PET decomposition into its monomers, transportation into E. coli and leading via terephthalic acid (TPA) to a high-value end product. ",
2012,BAU-Indonesia,"They designed a plasmid which is contains of encoding cutinase degrading enzymes of producing PET. The recombinant plasmid which contained the cutinase gene will be introduced into E. coli. Finally it will be used as PET biodegradator product.
",
2012,Paris-Saclay,they designed a system that allows controlling the expression of a gene or an operon over a specific temperature interval (bettheyen 32 and 42 degrees Celsius). And this system are equiped with numerous applications.,
2012,HokkaidoU_Japan,"They designed two modules to make bio-capsule E. coli"" that accumulates bio-plastic.  This is the first successful production of bio-plastic as an iGEM team. they will try to extend the applicability of this system for producing other high-value macromolecules in the capsule.
",
2012,Bielefeld-Germany,"They developed a biological filter using immobilized laccases, enzymes able to radicalize and break down a broad range of aromatic substances.",
2012,Colombia,"They developed a modular synthetic system that is able to recognize pathogen-associated molecules from either fungi or bacteria, aiming to speed up the activation of the plant immune system in an infection process. ",
2012,BYUProvo,"They developed E. coli capable of simultaneously sensing lactate, heat and ROS, implemented a novel Cre-Lox system, and constructed a library of thermosensors. ",
2012,USP-UNESP-Brazil,"They developed two projects, which aims are to introduce new properties in a system and to gain control over the information processing.
",
2012,Carnegie_Mellon,They engineer a fluorogen-activated bio-sensor that can provide information on both transcription strength and translation efficiency. ,
2012,Potsdam_Bioware,"They established a novel streamlined workflow for obtaining antibodies by incorporating all natural steps such as antibody maturation, selection and production in one genetic system implemented into a eukaryotic cell line. ",
2012,Hong_Kong-CUHK,"They exploited the use of halobacterial sensors, the sensory rhodopsins which are sensitive to a wide spectrum of readily available light stheirce and build a series of sensing systems to control cellular movement and gene regulation. ",
2012,USC,They have created a method of communication with Escherichia coli by engineering a system that causes a predictable response to a controlled environmental stimulus. ,
2012,Tokyo-NoKoGen,"They have created an E. coli for long distance communication. Communicheria coli sends a message, in the form of light, to distant cells, which then relay the message to other distant cells.
",
2012,Duke,"they have created an optogenetic tool kit in Saccharomyces cerevisiae using the CIB1/CRY2 optogenetic system. In this system, the CIB1-VP16AD and CRY2-Gal4BD fusion proteins dimerize in the presence of blue light leading to gene expression at the Gal1 promoter.",
2012,SDU-Denmark,"They have designed a novel approach to address this issue of plasma LPS, by probioticly induce changes in the gut flora by genetically modifying a bacteria to produce plant originated inulin. ",
2012,Valencia_Biocampus,"They have designed, constructed and characterized an inter-specific translator based on light pulses that allows to literally dialogue with microorganisms. They have used this system to find out the fermentative status of budding yeast and to dialogue with E. coli allowing it to anstheyr questions such as  you hungry. ",
2012,Austin_Texas,They have developed a novel detection and bioremediation strategy for caffeine contamination by refactoring the methylxanthine degradation operon native to Pseudomonas putida CBB5. ,
2012,Arizona_State,They have developed a novel detection and bioremediation strategy for caffeine contamination by refactoring the methylxanthine degradation operon native to Pseudomonas putida CBB5. ,
2012,Yale,They have developed a series of devices which program a bacteria population to maintain at different cell densities.,
2012,Berkeley,They have developed a strategy that enables high-throughput library screening with microscopy by coupling a unique fluorescence signature with each genotype present in a library. ,
2012,Bonn,"They have developed and characterized a fusion construct containing a light sensitive domain, providing easy coupling and light activation of proteins of interest to investigators, thus developing a protein-level light-induced knockout.
",
2012,UT-Tokyo-Software,They have developed simple search and educational tools to assist iGEM teams. ,
2012,Penn,"They have engineered E. coli bacteria which may enable highly targeted eradication of human epidermal growth factor receptor 2 (HER2) overexpressing cancer cells. Besides, bacterial biofilms that can act as antimicrobial surfaces has also been made.",
2012,UCSF,"They have studied two systems to create cellular codependence in E. coli - using either pairs of auxotrophs or toxin/antitoxins. Besides, they also split a model metabolic pathway (violacein production) bettheyen two separate strains.",
2012,Queens_Canada,"They have used flagella to host heterologous proteins that will result in thousands of useful enzymes organized in an extensive scaffold, with the benefits of extracellular synthesis, degradation and arrangement.",
2012,Washington,"They implemented broadly applicable methods to optimize biological systems through directed evolution, light-regulated gene expression, and computer aided protein design.",
2012,CU-Boulder,"They improved the characterization of the pre-existing AHLase, Aiia. Aiia inhibits quorum sensing which is proven to reduce bacterial viability.  Besides, They also developed a construct for treatment and submitted a new part to the registry, NucB, which is a nuclease that targets extracellular DNA necessary for biofilm. ",
2012,Valencia,"They present an artificial consortium bettheyen 2 specialized bacteria by the means of genetic engineering, in order to obtain a photosynthetically fed biolamp. ",
2012,VIT_Vellore,"They present an artificial consortium bettheyen 2 specialized bacteria by the means of genetic engineering, in order to obtain a photosynthetically fed biolamp. ",
2012,Nanjing-China,They propose a method of controlling animal gene expression and helping cure disease by creating vegetable that produces artificial siRNAs targeting critical genes for some disease.,
2012,NYC_Hunter,They set out to construct a functional XOR gate in e.coli .They approached issues in promoter design and using bioinformatics and devised a plan for site mutagensis to modify promoter activity. ,
2012,Clemson,"They theyre using a genetic engineering approach to produce a small consortium of E. coli that should efficiently degrade biphenyl, and it is hoped that this same system can be adapted for the bioremediation of PCBs.",
2012,KAIT_Japan,"They try to make E.coli which has ability to kill the cancer cell. First,they give E.coli the function to have the chemotaxis to cancer cells by recognision of CCL22. Second, they give E.coli the function that they combine with cancer cells. Third, they give E.coli function that they release the azurin to cancer cells. 
",
2012,USTC-Software,They used experimental data to reversely engineer the mathematical model and guide backwards the biological design,
2012,Michigan,"They utilized the recombinase HbiF to augment an existing system in Escherichia coli that relied on the recombinase FimE. A burst of induced, low level expression of one recombinase will invert the promoter flanked by the recombinase binding sites, triggering a switch from strong expression of one set of proteins to another set. ",
2012,Dundee,This project aimed to design a synthetic bacterium that would respond to C. difficile infection and kill the pathogen in situ. ,
2012,Macquarie_Australia,This project creates a light-dependent biological switch using the bacteriophytochromes from Deinococcus radiodurans and Agrobacterium tumefaciens. ,
2012,Bordeaux,This project is to engineer a single strain of bacteria able produce concentric patterns on the dishes. A theyt lab and dry lab have been conducted in this project.,
2012,ETH_Zurich,"To detect hazardous levels of sun radiation, their system was based on UVR-8, a UV sensing protein from plants and they fused UVR-8 with the DNA binding domain from TetR, which is unable to dimerize and to bind DNA in monomeric form in order to build a light-activated switch.
",
2012,Rutgers,To develop strains of bacteria that produce high levels of 1-butanol they have introduced the genes coding for a biochemical pathway from Clostridium acetobutylicum into a mutant E. coli strain that produces a high level of NADH. ,
2012,UC-Merced,"To exploit the fermentative capabilities of Escherichia coli to produce hydrogen gas, the team performed P1 transduction on strain FMJ39 from JW1228-1 to produce the desired triple mutant with the necessary metabolic flux to hydrogen production.",
2012,USTC-China,"To help solve the problem, they design a gene circuit which can both detect and defend against the phages. To win more time for lysis to function theyll, they design antisense RNA to prevent the phage from turning into lytic life cycle. ",
2012,Nevada,"To improve the nutrient in white rice around the world, they have engineered proteins that will adhere nutrients to rice grains and prevent losses. ",
2012,Kyoto,"To make it possible for FT protein to access to plant cells directly from E.coli,they established a new protein translocation system, R-TAT.  Their R-TAT system can carry proteins from the cytoplasm to plant cells while maintaining appropriate folding of target proteins.",
2012,Lyon-INSA,"To reduce the use of biocides, the INSA-Lyon iGEM team aims to engineer a bacterial ""torpedo"" capable to infiltrate and destroy biofilms formed on industrial equipments, pipes or reservoirs. ",
2012,SUSTC-Shenzhen-B,"Transcription terminator is an essential part of biobrick circuits, but is not theyll characterized. They studied the rho-independent transcription terminators using both theoretical modeling and experiment method. ",
2012,SEU_A,"Two innovative ways which have great advantages over the traditional one theyre brought up by the team for drug resisitance
",
2012,University_College_London,UCL project proposes the bioremediation of microplastic waste by two systems: degradation using a laccase enzyme or aggregation by controlled expression of curli. ,
2012,Harvey Mudd,Use mathametic way to prove the former method to make many orthogonal buffer amps  is limited and developed a new method: sequence-specific formation of a DNA-DNA-RNA triple helix to block a promoter. ,
2012,Lethbridge,"Using a synthetic biology approach, they have designed the CAB (CO2, acetic acid, biosurfactant) extraction method for a modified MEOR to extract carbonate oil deposits. ",
2012,Fudan_Lux,"Using light as messager is rarely seen in the biological system. In project BIOWAVE, their goal was to create such a light driven feedback system including artificial light sensor and bioiluminescence.",
2012,WHU-China,"Utilizing human microbiota to tackle diseases has long been the keen desire of scientists. WHU-China team engineered a probiotics coslim from Escherichia coli, hoping to provide a new approach for treating obesity. ",
2012,Stanford-Brown,"where do they come from?where are they going? and why are they alone?The Stanford-Brown iGEM team explored synthetic biology untapped potential to address these questions.  Hell Cell,Venus Life code have been studied inthis project for astrobiology.",
2012,Virginia,"Whooping cough, the infectious respiratory disease caused by Bordetella pertussis, has servere damage to human population. The team proposed an engineered bacteriophage diagnostic system for rapid clinical detection of pertussis. ",
2012,ZJU-China,"ZJU-China aims to design and realize a tunable RNA scaffold to accelerate biological pathways and turn their on and off.  Meanwhile, they plan to add an aptamer structure on RNA scaffold as a switch to regulate biological pathways by micromolecular ligands. ",
2013,Concordia,"    The team's aim is to achieve universally computational cells through the exploitation of cell-cell communication to generate biological cellular automata. To achieve this, they are using an array of E. coli colonies, which implement the same logical functionality while using different input/output interfaces. ",
2013,NYMU-Taipei,"    To save bees from Nosema ceranae, the culprit of colony collapse disorder, this team created Bee. coli. from E. coli K-12 MG1655, a bacterium residing natively in bees. Bee. coli is strategically designed to work as follows. ",
2013,HUST-China,"   Here is a novel method to treat Hypertension by constructing human-friendly engineering bacteria that can produce short-chain fatty acids (SCFA) periodically and naturally to help maintain the blood pressure in safe level.
 ",
2013,UANL_Mty-Mexico," Here, they intend to build a genetic circuit that results in three discrete states whose transition can be regulated by temperature changes only.",
2013,OU-Norman_OK," Historically, the alcohol titer obtained with native alcohol producers, such as Clostridium acetobutylicum, an acetone/butanol/ethanol producer, and Clostridium beijerinckii, an isopropanol/butanol/ethanol producer, has been greater than that obtained wtih non-native producers. One major problem with these systems is the lack of tools available for genetically manipulating them. The goal of this project has been to develop a shuttle vector that will allow the heterologous expression of these and similar biosynthetic pathways in these organisms.
",
2013,Duke," In order to expand the versatility and variety of bistability and oscillation circuits, they designed and constructed gene networks using artificial transcription factors (ATFs). The ATFs are of two classes: inhibitory TAL proteins and a catalytically inactive dCas9 protein with small guide RNA elements. Based on these results, they assembled a library of plasmids containing ATFs, binding sites, regulatory elements, and fluorescent reporters.
",
2013,UC_Davis," In order to increase the versatility of expression control systems, This team proposes a new system coupling transcription activator-like effectors (TALEs) with inducible riboswitches. TALEs are proteins secreted by the bacterial pathogen Xanthomonas that contain engineerable, sequence-specific DNA binding domains and can act as transcriptional repressors or activators.",
2013,Sumbawagen," In this project, this team plans to create a construct in Biobrick format, and evaluate the ability of transgenic E. coli for the measurement of glucose in honey. The final goal is to create a device which can be used for quality control of Sumbawa honey, which  called  ""ECONEY"".
",
2013,CSU_Fort_Collins,"-- No abstract provided yet --
",
2013,UCSF," The goal of their project is to take advantage of a natural horizontal gene transfer mechanism in bacteria to precisely affect gene expression in selected strains.  They combine bacterial conjugation with CRISPRi, an RNAi-like repression system developed from bacteria,  to regulate gene expression in targeted strains within a complex microbial community. One possible application is to selectively repress pathogenic genes in a microbiome, leaving the community makeup unaffected.
",
2013,Baskent_Meds," Their aim is developing bacteria which can recognize Legionella pneumophila specifically at species level by legionella quorum sensing, and respond  by producing anti-Legionella peptide which is produced by some Staphylococcus strains. ",
2013,Michigan, Their project seeks to engineer the fim switch by replacing the native promoter with another promoter. ,
2013,UT_Dallas," their system starts with the detection of saccharides essential for S. mutans survival. Using dextranase, the E. coli are able to attach onto the dextran layer that S. mutans normally live on.",
2013,UCLA, they aim to develop an in vitro system for generating antibody-like proteins that bind specified targets. ,
2013,Manaus_Amazonas-Brazil," they aim to make a micro potheyr plant using a bacteria hungry for used-frying-oil.
",
2013,HokkaidoU_Japan," They created a kit for E. coli to find the best suited promoters and RBSs. 
For the kit they created an original promoter and RBS families with different strengths. They checked and made these parts to be reliable. 
They made the promoters and RBSs by selecting from randomized libraries. Using the kit, E. coli can choose optimal promoters and RBSs by her/it/him-self.


",
2013,Tokyo-NoKoGen," they created Twinkle.coli. An oscillator is a system that responds in periodic changes. 
 To design an artificial fast responding oscillating circuit, they designed an RNA-based oscillator. they used RNA-responsive self-cleavage ribozymes whose cleavage is regulated by an RNA molecule. The ribozyme cleavage cuts-off an RNA scaffold that harbors RNA aptamers. This aptamer binds to its specific target proteins, which are directly fused to reporter protein. 
",
2013,MIT, they describe a method for mammalian cell-cell communication utilizing engineered exosomes containing miRNA or protein signals.,
2013,UGA-Georgia, They explored and engineered a novel gene expression tool (BBa_K890000) for Methanococcus with the capability of expressing geraniol synthase from Ocimum basilicum (BBa_K1138000).  Furthermore they engineered new vectors (BBa_K1138001 & BBa_K1138002) with the potential capability of regulating and quantifying the expression of desired proteins via red fluorescence.,
2013,UNIK_Copenhagen," They hope to be able to suggest a strategy for new types of selections markers based on magnetism. This will hopefully stand as a convenient alternative to the general standard of working with antibiotic resistance for selections markers. 
",
2013,UCL," They intend to explore the potential application genetic engineering techniques on the brain, by tackling Alzheimer's disease, which is linked to the presence of amyloid plaques in the brain. Targets for the project include: establishing microglia cells as a new Synthetic Biology chassis and constructing new BioBricks to enable engineered Microglia to detect and destroy disease-associated amyloid plaques.
",
2013,Lethbridge," They propose the development of a new library of regulatory gene expression elements that allow for compression of multiple coding sequences into a smaller amount of genetic space. 
",
2013,XMU_Software," They use PWM algorithm to evaluate the relative strength of promoters and RBS and precisely locate the key region of the sequence that affect its performance. Through codon optimization and GA algorithm their program can analyze and then optimize the protein coding sequence so as to enhance the protein expression level. 
",
2013,Purdue," To assess circuit robustness, this team utilized the potheyr of the Taguchi Method, a statistical analysis which optimizes a set of parameters to form a robust system against outside noise while minimizing experimental time and cost. Making bicistronic expression operating units, which reduce the variability of gene expression, available in the Registry of Standard Biology Parts will enable efficient engineering of large networks. ",
2013,Greensboro-Austin,"	Since adhesiveness is correlated with L-DOPA content, this project aims to improve the adhesive properties of MAPs by utilizing a strain which inserts the non-canonical amino acid L-DOPA at UAG stop codons during translation. When combined with the in vivo production of free L-DOPA, this system is a significant step towards rapid, cost-effective MAPs production.",
2013,Osaka,"
 by conducting experiments and using computer simulation, they have examined how they live and grow in liquid medium culture and what kind of pattern they form on solid medium culture.
",
2013,WHU-China,"
 To achieve multi-stage regulation of target genes, They further develop several dCas9 devices in which dCas9 alone or fused with omega subunit of RNAP is directed by various guide RNAs to different regions of designed double promoters. Therefore, promoters with disparate strength can be either activated or repressed respectively and multi-stage gene expression can be achieved. ",
2013,Colombia_Uniandes,"
The first , Nicko, it is a system capable to detect and absorb nickel, to later be removed magnetically.

The second , Chimi, is a stress-tester for animals (or even humans). It is based in a glucocorticoid sensor that is able to discern bettheyen basal levels and stress levels of glucocorticoid hormones in a sample with an easily recognizable signal, such as color.

",
2013,Newcastle,"
They produced a BioBrick for Bacillus subtilis, that allows cell morphology to be toggled from normal to L-form.  They have explored some of the interesting opportunities that L-forms provide including cell fusion, genome shuffling and the generation of differently shaped cells using microfluidics. L-forms are thought to exist naturally within plant tissues and they also studied their use as agents for delivering novel functionality into plants. 

",
2013,UNITN-Trento,"B. fruity envisions an environmentally friendly way to control fruit ripening by exploiting an engineered, light regulated strain of B. subtilis. The inhibition of fruit ripening results from the synthesis of MeSA via a pathway built with wintergreen parts. As a proof of concept, this team engineered E. coli with the above systems plus the YF1/FixJ blue light receptor device.
",
2013,BGU_Israel,"Bioremediation and biosensors often require the release of genetically modified organisms (GMOs) to the environment. After being released, these GMOs are no longer under direct control.  In order to eliminate this threat, they are developing a genetic circuit, using e. coli as a model GMO, that limits the lifetime of a bacterial population after it is released to the environment.",
2013,Shenzhen_BGIC_ATCG,"Cell Magic plays a gorgeous movie show in the both E.coli and S.cerevisiae.Various colors are blooming in different branchs & buds: plasma membrane, nucleus matrix, mitochondria membrane & matrix, vacuolar membrane, peroxisomal membrane, centrosome, and also actin. But the scene is far from static, colors will show up in order under the sophisticated cell cycle system at G1, S, G2 or M phase.  ",
2013,Biwako_Nagahama,"Cellulose is used as raw material for paper, so the team experimented various ways to increase the amount of cellulose produced by agrobacterium and using it to make papers. For this they developed the different parts to insert into the system of agrobacterium. ",
2013,RHIT,CUPID aims for stable obligate symbiosis for the model prokaryote Escherichia coli (bacteria) and the model eukaryote Saccharomyces cerevisiae (yeast). This team addresses this goal by constructing a unique platform for interspecies-dependence based on inducible expression of a required histidine biosynthetic gene (HIS) in each species.,
2013,HZAU-China,"For HZAU-2013iGEM project, they are creating a safe moving vaccine factory by synthetic biology which can spread Rabies vaccine in dogs rapidly and actively. This team's aim is to help in the achievement of the WHO goal of being free of human rabies by 2020 through the improvement of the vaccination coverage in dogs.",
2013,Fudan,"Guided by the theoretical study on functional multistable states and semi-static states of a riboswitch, and the kinetics involving impacts from other systems such as CRISPR, RNA polymerases, ribosomes, and degradation complex, the ALeader-based functional multi-phase and tricistron switches are designed. ",
2013,Bonn,"iGEM Bonn 2013 aims to overcome these drawbacks by engineering a novel tool based on blue light-inducible degradation of targeted proteins.The use of a modified ClpXP protease system allows a significant increase in rate and scale of activity change while keeping the modification of the target protein to a minimum. Combining this system with a tool for photo-activatable heterodimerisation based on a LOV domain results in a superior tempero-spatial control.
",
2013,Waterloo,"In nature, intercellular communication allows coordinated cellular behavior on a population level. Engineers seeking complex programmed population-level behavior require tools enabling controlled, information-rich intercellular messaging. Given They propose an intercellular communication program that extends DNA messaging by controlling modification and transmission of a DNA message. Modification is controlled through flipping a DNA switch on the message DNA and a promoter sequence that is invertible using serine integrases and recombination directionality factors (RDFs). Transmission is controlled by placing expression of the M13 major coat protein, which is required for viral packaging of message DNA, under control of such a switch.
",
2013,NJU_China,"In their project they are trying to express both anti-virus siRNA within the cell and target protein on the surface of the Microvesicles (MVs) by engineering the HEK 293T cell, which is capable of producing large amounts of MVs. Thus, the MVs produced by their engineered HEK 293T cells will contain the siRNA and be able to specifically deliver the siRNA to the sites they want, acting as biomissile for the targeted destruction of the disease.
",
2013,TMU-Tokyo,"In this year, they created Genomic ""Pythagorean Devices"". They have constructed  a Pythagorean device in Escherichia coli genome, using lambda phage recombination system ""RED"". 



",
2013,ITB_Indonesia,"ITB_Indonesia team for iGEM 2013 focuses on designing a whole cell biosensor for aflatoxin B1 detection in foods. The biosensor uses Escherichia coli as the chassis to build a genetic circuit using SOS response system to detect DNA damage caused by aflatoxin B1-oxide attack.  The SOS response promoter is follotheyd by a reporter gene coding a chromoprotein, therefore the concentration of aflatoxin B1 in food samples could be easily detected by the color change of the bacteria.  
",
2013,Grenoble-EMSE-LSU,"Maintaining cell growth state during culturing is generally difficult due to metabolic adaptation and changing cell division rates. Using light-induced promoters and a phototoxic fluorescent protein, this team has designed Talk E. coli. It uses light signals to communicate with bacteria allowing the researcher to remotely control the cultures using a computer. ",
2013,uOttawa,"Many synthetic gene networks are susceptible to cellular noise. To address this, uOttawa has engineered a network in S. cerevisiae that is responsive to fold-changes as opposed to absolute changes in stimulus. This allows the network to maintain sensitivity despite noise, and also permits response to stimuli in a much larger dynamic range. 
",
2013,KAIT_Japan,Medicine for fever makes people sleepy .This team is working on a project to relive hay fever by Escherichia coli to improve these.,
2013,Exeter,"One dimensional protocols often require constant monitoring of applied chemical concentrations, leading to them becoming inept for more complex systems.  A triplet of NOT gated photoreceptors in Escherichia coli, will be used to create a system which is finely controlled using only light. This will be showcased using magenta, cyan and yellow pigments as outputs. 
",
2013,AMU-Poznan,"sh-miR Designer will be a software aimed at fast and efficient design of effective RNA interference (RNAi) reagents - sh-miRs, also known as artificial miRNAs. sh-miRs delivered to cells on genetic vectors - plasmids or viral vectors - enter natural RNAi pathway and silence target mRNA. They can be used in genetic therapies and basic biomedical research.
",
2013,OUC-China,"so the significance of their project lies in simplifying the magnetosome produce method, opening up the path for futher functional gene research. They use homologous recombination to transfer the mamAB gene into E.coli to build an IMS part.
 ",
2013,UCL_PG,"Spectra aim to use a novel configuration of synthetic gene networks (SGNs) to drive evolution of a fluorescent protein with dramatically improved spectroscopic properties. In future they intend to use the capabilities this enhanced fluorescent protein will provide to enable better dissection of differentiation pathways in stem cells. 
",
2013,Valencia-CIPF,"The aim is to create a biological platform within a model organism, such as common yeast, to develop an alternative method for production of several aromatic monoterpenoids. The advantage of this organism as producer lies in its capabilities of genetic modification, robustness and culture simplicity. ",
2013,Evry,"The aim of their project is to prevent the intestinal absorption of iron by engineering Escherichia coli to produce siderophores, chelators of iron.
They engineer Escherichia coli using the Ferric Uptake Regulation (FUR) couple to an inverter system,  in order to produce these siderophores in presence of iron. To reduce the patient's iron absorption, their bacteria is encapsulated in a pill. Once it arrives in the duodenum, their bacteria will produce the siderophore at their full potential and chelate the iron.

",
2013,Gdansk-UG,"The aim of their project was to construct a  bacterium system that would be able to detect methanol in ethanol solutions，which means it would not only react to methanol, but also survive in high concentrations of ethanol..To achieve it, they used a methanol-dependent promoter from Methylobacterium organophilum which would control the production of a dye or an enzyme that would produce visible product. ",
2013,NU_Kazakhstan,The aim of their study is to develop a biosensor that can be used  in the detection of CEA.,
2013,ITU_MOBGAM_Turkey,"The aim of this project, as ITU MOBGAM IGEM Team, is to design a bacterium that is capable of surviving in small intestine and secreting Intrinsic Factor dependent on pH. Also, they design a genetic circuit for controlling the overgrowth and containment of bacteria.

",
2013,NJU_NJUT_China,"The CRISPRs and Cas (CRISPR-associated) interact and form prokaryotic adaptive immune system. Cas9, as a core of CRISPR system, can play a role of targeted-attacking gene ""missiles"". Therefore, they build a  sort of plasmids, loading CRISPR system, to realize the ""killing"" of harmful genes and/or organisms.
",
2013,AITM-Nepal,The delivery of siRNA in a packaged outer membrane vesicle of gram negative bacteria is the theme of their work. ,
2013,INSA_Toulouse,The E. calculus project consists constructing a full n-bits adder capable of transmitting a carry to the next step. The designed strain contains specific devices that should ensure a relatively precise calculation.,
2013,LZU-China,"The NF-VB signal pathway regulatory vector was constructed by gene recombination technique, and the tumor cells theyre transfected with NF-VB to form a signal feedback control system. ",
2013,Bordeaux,"The project aims at producing a new range of lactic cultures able to produce natural flavtheirs and coltheiring substances in a yogurt; including ones producing resveratrol, a molecule responsible for the red wine beneficial effects, implicated in the ""French paradox鈥? Necessary routes of biosynthesis will be introduced in Lactobacillus bulgaricus and Streptococcus thermophilus, agents of lactic fermentation.",
2013,Stanford-Brown,"The team is using cellular and molecular messaging of different magnitudes to improve the broadcasting and reception of information. Starting on the atomic level, their BioWires project has created silver-incorporating DNA to act as nanowires, which could improve the cost and effectiveness of electronic products.Their CRISPR project is creating a system for DNA messages and resistances to be passed from cell to cell, in effect, creating transmissible probiotics and changing the way that cells communicate.",
2013,CU-Boulder,"The team spent the summer developing parts, procedures, and documentation to help make this vision a reality. The original goal was to create the constructs and purification methods necessary to produce and isolate restriction enzymes. ",
2013,NRP-UEA-Norwich,"Their aim is to develop Biosensors to aid identification of novel antimycin-producing actinomycetes. Worldwide soil and sediment samples have been collected to produce a library of actinomycete strains, which will be screened using their Biosensors, the ultimate goal being to screen bacterial strains for antimycin production.
",
2013,WLC-Milwaukee,"Their construct utilizes removable purification and secretion tags separated by a single enzyme cut site NheI that is the insertion point for any coding sequence of interest. The induced gene can be secreted from the cytoplasm to the extracellular space via a tripartite secI pump. A cymR-regulated T5cumate promoter within the plasmid controls a Tse2 toxin to avoid horizontal gene transfer, while the plasmid also encodes a chimeric ompA-monoclonal antibody gene, which when expressed, inserts into the outer membrane and the antibody selectively binds norovirus within the gut to hinder infection.",
2013,SCAU-China,"Their goal is to construct a p-Nitrophenol sensor in E.coli, which is the degradation product of parathion, in order to reflect the existence of parathion. Besides, they try constructing a degradation system to solve the pollution problem. Considering the biosafety problem, they also design a suicide system in which the lethal genes are only triggered by declining p-Nitrophenol concentration. ",
2013,Tufts,"Their goal is to develop a way of expressing a user-defined protein during the discrete life stages of the gram-negative predator Bdellovibrio bacteriovorus. In order to accomplish this, they have selected a number of promoters from the bacteriovorus genome that will precede the user-defined protein. The region to be expressed and the vector which carries it will recombine into the bacteriovorus genome, and recombine once again popping out under the pressure of sucrose counterselection. 
",
2013,GeorgiaTech,"their goal is to develop novel bacterial BioBots that respond to the extracellular tissue environment. Mammalian cells communicate with the extracellular matrix (ECM) using heterodimeric cell surface receptors, called integrins, which can signal in a bidirectional manner bettheyen the cell interior and ECM. They aimed to express the integrin  in E. coli cells. ",
2013,Poznan-BioInf,"Their goal is to engineer a device allowing to save up to three binary input signals in living E. coli cells, resulting in expression of red, blue and green fluorescent proteins as reporters. ",
2013,USP-Brazil,"Their product is a bioengineered sensor, which will be able to detect levels of methanol above 2% in common alcoholic drinks. ",
2013,Rutgers,Their project aims at developing a self-regulatory system for the degradation of virulent factors. They plan to integrate quorum sensing and pon1 to create this system of self-regulation.,
2013,SJTU-BioX-Shanghai,"Their project involves the newly developed gene regulating tool CRISPRi and three light-controlled expression systems induced by red, green, and blue light respectively. 
They have also designed a box and written a software as their experiment measurements.",
