 Team  ,Year,SimpleDescription,Description,Keywords,Chassis
HUST-China,2014,"designing gene circuits to gather copper ions,degrade cyanide, 
detoxify fluoride and suggest whether the water is safe for further use.","They  combined heavy metal meditation with RBC (Rotating Biological Contactor), which is a biofilm-based reactor technology widely used for sewage treatment, and developed a toolkit being able to gather copper ions, degrade the cyanide, detoxify the fluoride in the sewage and suggest whether the water is safe in terms of copper amount at the same time. The bacteria are so capable in defeating bad guys (harmful chemical compounds in the project) and retracting valuable resources in environment (Copper ions)","heavy metal， biofilm-based reactor， copper ions, degrade cyanide, detoxify fluoride",E. coli BL21
IIT_Delhi,2014,genetically engineer E.coli and equip it with the genes to synthesize nitrite reductase enzyme NrfA and CysI (sulfite reductase) and Sqr (Sulfide Quinone reductase) enzymes. NrfA reduces NOx to ammonia (NH3) while Cys1 and Sqr reduce sulphur dioxide (SO2) to hydrogen sulfide (H2S) and H2S to sulfur(S) respectively.," They have engineered nrfA gene (codes for nitrite reductase) in E.Coli to convert NOx to NH3 and for SOx reduction we will incorporate cysI(sulfite reductase) that converts SO2 to H2S (Growth Yields and Growth Rates of. Desulfovibrio vulgaris (Marburg) growing on Hydrogen plus Sulfate and Hydrogen plus Thiosulfate as the Sole Energy Sources, Arch. Microbiol. 117, 209-214 [1978]) and sqr (sulfide quinone reductase) to convert H2S to S.  We anticipate that the use of genetically engineered bacterium would subside the efficiency of existing chemical methods.
","Nox, Sox, greenhouse gases, Nitrite reductase enzyme, sulfide-quinone reductase ",E. coli 
 Minnesota,2014,"A continuous filration device that can deadly methylmercury to inorganic, gaseous mecury. ","This construct was assembled from the mer operon in Serratia marscecens in the plasmid pDU1358, and is designed to contain an upstream regulatory gene merR, two genes encoding for transport proteins merP (periplasmic) and merT (transmembrane), a gene encoding mercuric reductase MerA, and finally a gene encoding organomercurial lyase MerB. The phsABC genes from Salmonella enterica serovar Typhimurium LT2 encode thiosulfate reductase, which catalyzes the stoichiometric production of hydrogen sulfide and sulfite from thiosulfate for heavy metal removal by precipitation.","Mercury Bioremediation, Heavy Metal Bioprecipitation, merT (transmembrane)

","E. coli, Pseudomonas, Shewanella"
 Missouri_Miners,2014,"The goal of this project is to modify the genome of Cyanothece 51142, a cyanobacteria species, to allow it to fix a variety of nitrogen oxide compounds that are major pollutants present in coal flue emissions.  ","The goal of this project is to modify the genome of Cyanothece 51142, a cyanobacteria species, to allow it to fix a variety of nitrogen oxide compounds that are major pollutants present in coal flue emissions. The Missouri S&T iGEM Team plans to clone and standardize genes from Pseudomonas aeruginosa and Escherichia coli that will allow Cyanothece 51142 to uptake and convert nitrogen oxides into ammonium, a major component of fertilizer. This could lead to a method to reduce polluting emissions while producing fertilizer to offset the costs of scrubbing the emissions.","nitric oxide ,  nitrate", cyanobacteria
 Nanjing-China,2014,"This project is to construct a system to perform tasks like amplifying expression and quantitatively detection. The whole system can solve problems such as detection and degradation of toxins, enhanced expression of specific protein, timing of experiments and quantitative measurement of specific molecule.","This project is to construct a system to perform tasks like amplifying expression and quantitatively detection. The system is consisted of several sections such as the QUANTITIVE DETECTOR, the HANDLING SECTION, the SUICIDE SYSTEM and the TIMER.This design is modularized, replaceable, and efficient. The whole system can solve problems such as detection and degradation of toxins, enhanced expression of specific protein, timing of experiments and quantitative measurement of specific molecule.
"," quantitive detevtor, suicide system, timer, degradation of toxins",E. coli
 NCTU_Formosa,2014,This project plan to produce PBANs through E.coli and make the PBAN come in contact with the target insect. The target insect will then start producing pheromones and attract more target insects.,"This team plan to produce PBANs through E.coli and make the PBAN come in contact with the target insect. The target insect will then start producing pheromones and attract more target insects. In our project, they will biologically synthesize PBAN with the E.coli. They store the PBAN inside a trapping device. In the device, there will be appropriate lighting and nutrient sources that will attract insects. Once an insect is attracted into our device and ingests the nutrient sources we provide, it will also inevitably come in contact with our PBAN. As the PBAN works and activates the pheromone synthesis of the attracted insect, more of this species of insect’s counterparts will be attracted and later captured.ach of the PBAN basic parts can use different promoters, RBS and terminators to make many different regulation","Biological Control Method, Pheromones, harmful insects", E.coli
 NEFU_China,2014," The designed bacteria consists of three modules in function. The first function is a detecting system that displays the presence of cadmium ions. The second function is a recycling system that synthesizes the cadmium sulfide nanocrystals to recycle ions. The last function is a flocculating system to increase the flocculent activity of the bacteria containing cadmium sulfide nanocrystals so that we can easily collect the nanocrystals formed by our engineered bacteria, as well as to avoid secondary pollution. ","The designed bacteria in our project consists of three modules in function. The first function is a detecting system that displays the presence of cadmium ions. The second function is a recycling system that synthesizes the cadmium sulfide nanocrystals to recycle ions. The last function is a flocculating system to increase the flocculent activity of the bacteria containing cadmium sulfide nanocrystals so that we can easily collect the nanocrystals formed by our engineered bacteria, as well as to avoid secondary pollution. Eventually, we can realize our double-win goal, safeguarding our environment by removing heavy metal ions and yielding available nanocrystals","Heavy metals, zinc, cadmium, detecting system,  recycling system,  flocculating system", E.coli
 NTNU_Trondheim,2014,"a plasmid, which when placed inside photosynthetic bacteria, increases their rate of CO2 fixation. ","This project is attempting to produce a plasmid, which when placed inside photosynthetic bacteria, increases their rate of CO2 fixation. In order to achieve this, they first construct BioBricks that allow inducible expression of non native genes in our chassis; Synechocystis sp. PCC 6803, when assembled.",CO2 fixation, E.coli
  NJAU_China,2014,". There are copA promoter,marO（operator of mar locus） and cueO promoter existing in E.Coli, all of which are directly or indirectly regulated by copper ions. The most sensitive and effective one (copA)was chosen to trigger the sequential reactions. Glutathione is an intracellular redox-active tripeptide thiol which can effectively detoxify the metal ions by chelation. It can be synthesized by gshF, which can unify both necessary reactions in one platform.","Escherichia coli has high tolerance for copper through specific systems. There are copA promoter,marO（operator of mar locus） and cueO promoter existing in E.Coli, all of which are directly or indirectly regulated by copper ions. The most sensitive and effective one (copA)was chosen to trigger the sequential reactions. Glutathione is an intracellular redox-active tripeptide thiol which can effectively detoxify the metal ions by chelation. It can be synthesized by gshF, an coding sequence derived from Streptococcus thermophilus, which can unify both necessary reactions in one platform.In addition, we also utilize sgRNA-dCas9 system to enhance the efficiency of chelate cupric and cuprous by repressing the expression of copA. With all these design, an automatically and efficiently copper-preventing guard have been created successfully."," copper ions, copA promoter, marO,  sequential reactions, glutathione", E.coli
Oxford,2014,"DCMation, a novel bioremediation approach whose applications are limited only by the versatility of bacterial metabolism. OxiGEM are tackling environmental pollution by developing a user-friendly device for the detection & degradation of the hazardous yet indispensable solvent dichloromethane (DCM), to illustrate."," our project is driven and refined by the dialogue between modelling simulations and experimental data. Bioremediation is optimised by expressing the DCM degrading system in host strains, along with microcompartments to accelerate the reaction and minimise toxic intermediates. Our biosensor is tuned to our characterisation and improvements of the catalytic efficiency of the system, while incorporation of the bacteria into novel diffusion-limiting biopolymeric beads ensures safe and rapid degradation. 
This all-round modular design and scalability make DCMation ideal for extension to the disposal of many harmful substances. ","dichloromethane， Bioremediation, biosensor, rapid degradation, ", E.coli
Peking,2014,"?in order to improve the method of annihilating algal bloom, Peking iGEM engineered?E.coli?to kill the cyanobacteria and degrade the toxins existing in the aquatic ecosystem.","First, they innovatively introduced a bactericidal enzyme, lysozyme to annihilate the algal bloom. Then, except for treating the remarkable biomass of cyanobacteria, the toxins secreted by cyanobacteria contribute to other serious environmental problems. they used holin, a hole-forming membrane protein, and endolysin, a muralytic enzyme, to construct a suicide system which will be triggered when M. aeruginosa are killed and the concentration of specific inducer molecules decreases.","algal bloom, cyanobacteria, degrade the toxin，suicide system", E.coli
SZU-China,2014,"Basing on the alkaline cellulase in suffering at present technology application and considering its beautiful and broad application prospects , they design a super Escherichia coli alkaline cellulase machine","They have made a super bacteria-Super Dream Factory of Cellulase.The factory has four parts. They are alkaline cellulase, Mdfa antiporter, kil   protein and ccdB suicide system. 
To enhance the effects of decontamination in various fields, they  use an alkaline cellulase as detergent additive. The alkaline cellulase gene was introduced into the Escherichia coli and the target enzyme can be highly produced with the help of Kil, which is one of the core elements of our project. What’s more, MdfA, a proton pump across the cell membrane, was added to transport the proton into the cytoplasma, and release Na+/K+ at the same time, resulting in cell survival in alkaline industry wastewaters as high as pH 9.5. They  also added a ccdB suicide system to the e-machine, by this you could remove the biological machine whenever you need for biological safety.

","alkaline cellulase,  ccdB suicide system, antiporter, kil   protein", E.coli
SYSU-Software,2014,"With mathematically simulation and visualization, this software automatically joins parts and modules and consequently a system come into being.","With standardized biobricks and databases, the software automatically joins parts and modules and consequently a system come into being. After define the inputs, outputs and logic between them, this software offers you with different solutions , the performance of each can be visible via a rader map. This software can mathematically simulate three major characteristics that describe the behaviour of the system: static performance, dynamic performance and expression efficiency.","Logic, Metacircuit design",
AMU-Poznan,2014,"With off-target validation and immune motifs presence verification, this automative software is for sh-miR design and in silico validation.",This software is for sh-miR design and in silico validation. In sh-miR designer v2.0 only the mRNA number (from NCBI database) can be provided to predict molecules targeting desired transcript. This automative software expanded functionality of the software with off-target validation and immune motifs presence verification and also extended the miRNA-shuttles database. ,"sh-miR design, Off-target",
HFUT_CHINA,2014,"Based on the users’ habits, this software is to recommend biobricks.","This software is to recommend biobricks for participators when they are designing new devices. By collecting the information of existing devices and making analysis on these devices, Biodesigner will recommend biobricks based on the users’ habits or the biobricks users have been used.",Recommend biobricks,
SJTU-Software,2014,This software can provide information and evaluation of specific biobricks quickly and display bio-system of users.,"This software can help wet-lab users get neat information and evaluation of specific biobricks quickly and to display their bio-system easily. Users can input keywords of the biobrick they are interested in and select special requirements of certain properties that are listed in the software, biobricks related will be listed, sorted by a score given to each biobrick, which takes into consideration the current status, user comments and reviews, times of citation in a publication and etc. Additionally, Users could draw their bio-system easily with the standardized biobrick icons, and they can also look into the detailed information about the biobricks in the bio-system. Finally, before self-created biobricks are uploaded to the official database, users could first assess their biobricks in this software according to assessment model.",Biobricks information,
UCSD_Software,2014,"Based on boolean logic, this software can help people design a genetic circuit.","Leveraging existing devices to construct a database with consideration for the function of each device interpreted as boolean logic, this software helps us to design a genetic circuit. The data can be queried by the user through SBiDer's visual interface to explore circuit designs. The displayed circuit's literature reference, characterization data, and images of included devices can be viewed through the built-in table. Basic validation of the circuit performance is also provided within in the interface. SBiDer's web of information can be expanded through user-generated additions to the database to improve the efficiency of the application and the accuracy of the models.",Boolean logic,
UESTC-Software,2014,This software is a sgRNA design tools for CRISPR/Cas technology. ,"This software is a sgRNA design tools for CRISPR/Cas technology. It is a sgRNA design tool fully supporting SBOL and BioBricks standards with dynamic algorithm based on intent function, chassis, and newest experimental data. The program can be used on all platforms.","sgRNA, CRISPR/Cas",
USTC-Software,2014,"This software is a data visualizational open source software, which can be used to show gene regulation and metabolic network.","This software is a data visualizational open source software, which can be used to show gene regulation and metabolic network. When a node is selected, this software can quickly form a net with the nodes close to it. When a gene sequence is provided,  it can use homology method to predict the impact it gives on the gene regulatory network. Furthermore, the software provides a menu of data export, which can be imported into other professional softwares for network analysis.On this platform, users can create, modify and complete different biological networks based on the information they get from online collaboration.",Data visualization,
Paris_Saclay,2014,This project is a way to spark debate with citizens about the upcoming opportunities and the ethical limits of designing living beings.,"This project is a way to spark debate with citizens about the upcoming opportunities and the ethical limits of designing living beings. They create a concept organism that would reflect these interrogations.  They modify E. coli to produce the scent and simulate the ripening process of a lemon. A mixture of bacteria and growth medium will be molded: it will smell, ripe and look like a lemon, but ""ceci n’est pas un citron” - this is not a lemon… or is it? ","Ethical limits, Lemon",E.coli
TU_Delft-Leiden,2014,This project is a microbial based sensor which consists on the biosensor's ability to produce a directly measurable electric signal as output.,"This project is a microbial based sensor which consists on the biosensor's ability to produce a directly measurable electric signal as output. Electrical conductivity is a novel output that is orthogonal to all other standard outputs currently in use, such as fluorescence. The sensor-output system will be implemented in a microfluidics set-up, offering the possibility of designing a cost effective device that could be used at a large scale. ELECTRACE enables the interface between biology and electronics. As a proof of principle, we will realize a system that is able to detect landmines. ",Electric signal output,E.coli
Imperial,2014,This project optimises cellulose biosynthesis in E.coli and develops a water purification system.,"This project optimises cellulose biosynthesis in Gluconacetobacter xylinum, transferring the system to E. coli. They improve the material using proteins in order to expand its properties and develop its application to the global issue of water purification. Improved filtration techniques would help relieve the severe water stress. The inherent porosity of cellulose and our synthetic attachment of contaminant-specific binding and catabolic proteins make for a flexible, modular water filter. ","Water purification, Water filter",E.coli
Sheffield,2014,This project aims to tackle sewer blocked problems using E.coli to produce lipase and keratinase enzymes.,"This project work focused on development of constructs that produce lipase and keratinase enzymes to degrade FOGs and hair to tackling sewer blocked problems. These constructs are designed to sit within a small, under-sink bioreactor that will produce and feed them into the waste system as the sink is drained.","FOGs, Lipase, Keratinase",E.coli
Utah_State,2014,This project aims to reduce the amount of detergent necessary for normal washes as well as increase the efficiency of stain removal by using enzyme.,"This project aims to reduce the amount of detergent necessary for normal washes as well as increase the efficiency of stain removal by using enzyme. They engineer E. coli to produce enzymes that can be used to remove laundry stains such as grass, starch, and oils. By functionalizing these enzymes on a bioplastic material that can be used as an additive to traditional laundry cycles, they hope to improve the sanitation of clothing and other washable materials. ","Detergent, Enzyme",E.coli
Colombia,2014,This project aims to develop a V. cholerae sensor using V. cholerae Autoinducer 1 (CAI-1) dectection and E.coli is its chassis.,"This project aims to develop a V. cholerae sensor using a new technique.They propose detecting V. cholerae Autoinducer 1 (CAI-1), the bacteria’s species-specific quorum sensing molecule. By rewiring V. cholerae’s own quorum sensing mechanism  in a harmless E. coli chassis, they build a cheap and easy-to-use biosensor that gives a color output when it senses the pathogen. This prototype can serve as a proof-of-concept for future quorum sensing-based pathogen biosensors.",Species-specific quorum sensing,E.coli
NRP-UEA-Norwich,2014,"This project aims to produce a kind of plant that will diagnose the presence of two pathogens, Xanthomonas oryzae and Xanthomonas campestris.","This project aims to produce a kind of plant that will diagnose the presence of two pathogens, Xanthomonas oryzae and Xanthomonas campestris. The plant sentinels will produce a chromoprotein output, observable by the human eye, within 48 hours of pathogen infection. The sentinels would allow growers to apply appropriate agrochemical application before the diseases progress to symptomatic pathogenesis in neighbouring crops. Furthermore, they construct a series of BioBricks that will allow Golden Gate assembly to assist cloning of transcriptional units within the iGEM standard.","Plant sentinels, Chromoprotein, Golden Gate assembly","Plants, Agrobacterium tumefaciens, E.coli"
SDU-Denmark,2014,"Through genetical modification, this project is an odorless E.coli strain which overproduce a self-designed wonder protein, containing the exact ratio of essential amino acids needed in the daily diet.","Through genetical modification, this project is an odorless E.coli strain which overproduce a self-designed wonder protein, containing the exact ratio of essential amino acids needed in the daily diet. Furthermore, the Edible coli will be able to produce essential fatty acids, Ω3 and Ω6. Neither of these products can be synthesized by the human body. This amazing nutrition-combo will be obtained from the degradation of otherwise non-degradable material for humans, such as cellulose. Edible coli is thus a bacteria containing some of the optimal quantity of nutrition a person needs.",Essential amino acids,E.coli
UC_Davis,2014,"By building an electrochemical sensor, this team develop a rapid, inexpensive and accurate technique to measure oil quality.","This team develop a rapid, inexpensive and accurate technique to measure oil quality. They build an electrochemical sensor that incorporates engineered enzymes to detect a spectrum of aldehydes that serve as a proxy of rancidity. Computational analysis and custom hardware that includes signal filtering, processing and optimization of chemical kinetics allows us to perform multi-compound detection and hence olive oil quality control in a highly reproducible manner. ","Oil quality, Aldehydes, Electrochemical sensor",Cells-free
Wageningen_UR,2014,This project aims to use an engineered strain of the native soil bacterium Pseudomonas putida to protect banana plants against Fusarium oxysporum infection.,"This project aims to use an engineered strain of the native soil bacterium Pseudomonas putida to protect banana plants against Fusarium oxysporum infection. Upon sensing of fusaric acid excreted by F. oxysporum, fungal growth inhibitors will be produced by P. putida to prevent infection of the banana plants. The bacteria contains a kill switch that will cause it to terminate once the threat of F. oxysporum to the bananas has been alleviated. Furthermore, a double dependent plasmid system will be used to prevent the spread of artificial genetic material to surrounding soil bacteria.","Banana, Fungal infection",Pseudomonas putida
Aberdeen_Scotland,2014,This project aims to detect Trypanosomiasis relying on patient serum antibodies against two different trypanosomal antigens.,"This project aims to detect Trypanosomiasis relying on patient serum antibodies against two different trypanosomal antigens. They engineered  protein to successfully express surface epitopes in E.coli that mimic two different trypanosomal antigens. Two E.coli strains were generated, each expressing a distinct surface epitope and either a quorum sensing (QS) sender or receiver module respectively. Immune pull-down of each strain, and their subsequent co-culture, produced a quorum signal, indicating successful detection of two distinct antibody populations in a serum sample. They also construct a cheap, Raspberry Pi computer-controlled fluorimeter  to diagnose of tropical diseases.","Quorum sensing, Tropical diseases",E.coli
ATOMS-Turkiye,2014,"This project aims to build two different devices, which work synergistically, in order to solve the tissue hypoxia and ischemia.","This project aims to build two different devices, which work synergistically, in order to solve the tissue hypoxia and ischemia. They use ‘hypoxia inducible systems' and ‘reactive oxygen species (ROS) sensitive gene fragments’. These two receptors  regulate the release of clot dissolving factors and antioxidant peptides synthesized by  engineered vessel cells. ","Tissue hypoxia and ischemia, ROS",Human cells
 Calgary,2014,"This project is a novel, nucleic acid-based, rapid point-of-care device capable of diagnosing multiple infectious diseases in parallel.","This project is a novel, nucleic acid-based, rapid point-of-care device capable of diagnosing multiple infectious diseases in parallel. Bacillus subtilis is being engineered to generate a chromophoric reporter in response to genetic markers from disease-causing pathogens. B. subtilis spores in a portable, handheld device will be used to detect pathogen DNA capitalizing on an innate mechanism of homologous recombination to express a reporter through a transcriptionally-regulated genetic circuit. This platform technology can be adapted to detect a myriad of pathogens by modifying the genetic markers to which the system is targeted.",Homologous recombination，Infectious diseases ,Bacillus subtilis
CityU_HK,2014,"With the aim to protect oneself against obesity, this team designs an Escherichia coli strain that has an enhanced ability to uptake and convert excess fatty acids from fatty foods into a-linolenic acid (ALA).","With the aim to protect oneself against obesity and debilitating diseases caused by a high-fat diet, this team designs an Escherichia coli strain (called Fit Coli) that has an enhanced ability to uptake and convert excess fatty acids from fatty foods into a-linolenic acid (ALA). The strategy is to engineer the fadL and fadD genes along with three desaturase genes to facilitate the uptake of long-chain fatty acids and their biotransformation to ALA by the “Fit Coli” strain. ","ALA, Long-chain fatty acids",E.coli
Dundee,2014,This project is a device that will rapidly and non-invasively identify pathogenic bacteria of cystic fibrosis.,"This project is a device that will rapidly and non-invasively identify pathogenic bacteria of cystic fibrosis. They have developed biosensors to recognise signalling molecules that are released by the bacteria and can be detected in a patient’s sputum. The biosensors will be housed in an electronic device that can be used as a point-of-care test for a patient’s respiratory microbiome. ‘The Lung Ranger’ is a portable tool designed to be faster and easier to use than current diagnostic techniques, allowing clinicians to make decisions about a patient’s treatment in a matter of hours rather than days.","Cystic fibrosis, Sputum",Cells-free
Fudan,2014,"This team designs and creates a new kind of genetic logic circuit in mammalian cells based on ""tet-shRNA expression system"" and ""Cre-tamoxifen system"" ,which can implement all 16 boolean logic gate functions ideally.","Cells of all organisms process numerous signals originating from the internal biological processes or from the environment to produce the appropriate cellular response.To a certain extent,the endogenous cell signal pathway is just like a logic circuit in digital system. This team designs and creates a new kind of genetic logic circuit in mammalian cells based on ""tet-shRNA expression system"" and ""Cre-tamoxifen system"" ,which can implement all 16 boolean logic gate functions ideally. And this team uses the circuit for creating a pathway for cell transdifferentiation and reprogramming.","Logic circuit, Boolean logic",mammalian cells
Groningen,2014,This project is a new kind of bandage that prevents infections caused by Staphylococcus aureus and Pseudomonas aeruginosa and reduces the use of antibiotics.,This project is a new kind of bandage that prevents infections caused by Staphylococcus aureus and Pseudomonas aeruginosa and reduces the use of antibiotics. The bandage consists of a hydrogel that contains genetically engineered Lactococcus lactis with nutrients. The engineered strain of L. lactis detects the quorum sensing molecules of the two pathogens in the wound and subsequently produces the antimicrobial nisin as well as some other Infection-Preventing-Molecules (IPMs). These IPMs are the anti-biofilm protein Dispersin B and the quorum quenching protein AHLase.,"Bandage, Quorum sensing molecules",Lactococcus lactis
Hong_Kong_HKUST,2014,"To provide an affordable solution to combat pneumococcal diseases, this team designs an E. coli that will work inside an in vitro diagnostic device.","To provide an affordable solution to combat pneumococcal diseases, this team designs an E. coli “Pneumosensor”, that will work inside an in vitro diagnostic device. Through this cheaper and easier diagnosis method, people can prepare themselves better against the transmission and adversity of S. pneumoniae. Pneumosensor has a rewired comCDE signal transduction pathway native to S. pneumoniae that detects autoinducer molecules released specifically by S. pneumoniae. It is also equipped with a new promoter for the specific and tight regulation of target gene expression in E. coli.","Pneumococcal diseases, comCDE signal transduction pathway",E.coli
Lethbridge,2014,"This project involves engineering microglia, the mobile immune cells of the brain, to package and deliver a therapeutic plasmid specifically to central nervous system cells for curing stroke and neurodegenerative disease.","This project involves engineering microglia, the mobile immune cells of the brain, to package and deliver a therapeutic plasmid specifically to central nervous system cells for curing stroke and neurodegenerative disease. The plasmid encodes a reprogramming factor that converts reactive astrocytes into new neurons, helping to restore the functional neuronal population and permit regrowth of damaged connections. They also develop a novel plasmid selection system that bypasses antibiotic-based selection to reduce the size of the reprogramming plasmid. This project has the potential to provide a novel, non-invasive rehabilitative therapy that could lead to significantly improved functional recovery following brain injury or disease onset.","Stroke and neurodegenerative disease, nervous system cells",Human cells
 LMU-Munich,2014,"Exploiting bacterial quorum sensing, this project is a novel pathogen-killing strategies for Staphylococcus aureus and Streptococcus pneumoniae.","This project is a novel pathogen-killing strategies. Exploiting bacterial communication mechanisms such as quorum sensing is a promising strategy to specifically target certain pathogens. The major aim of this project is the introduction of a genetic circuit enabling Bacillus subtilis to actively detect, attach to, and eventually kill Staphylococcus aureus and Streptococcus pneumoniae. They introduce the autoinducer-sensing two-component systems of S. aureus and S. pneumoniae into B. subtilis to create a pathogen-detecting strain. By utilizing quorum sensing-dependent promoters, we will then trigger pathogen-killing strategies like the production of antimicrobial peptides or biofilm degradation.",Quorum sensing,Bacillus subtilis
 MIT,2014,"Based on the detection of two Alzheimer’s-specific biomarkers in the brain, This team engineers a system to diagnose and treat Alzheimer’s disease.","Alzheimer's disease is a neurodegenerative disease that is characterized by the aggregation of beta-amyloid oligomers in the brain. This team engineers a system to diagnose and treat Alzheimer’s disease. Diagnosis is based on the detection of two Alzheimer’s-specific biomarkers in the brain: extracellular beta-amyloid protein oligomers and the intracellular miRNA profile of afflicted neurons. Successful detection triggers a treatment module that reduces beta-amyloid levels, thereby preventing neuronal death and slowing the progression of Alzheimer’s symptoms. This research demonstrates an approach that could inform an eventual treatment, not only for Alzheimer’s disease, but for numerous other human afflictions.","Alzheimer's disease, miRNA profile","Cells-free, Human cells"
NTU_Taida,2014,"this team producing skin-care ingredients with fatty acid metabolism related gene circuits in their gene modified e-coil,skin-guardian.","Noticing the oil oozes and gives the skin a greasy shine, this team producing skin-care ingredients with fatty acid metabolism related gene circuits in their gene modified e-coil,skin-guardian. In the project, they have three kinds of skin-care ingredients to skin whitening, keratin decomposition and fragrance producing respectively. When skin-guardians uptake excess oil and sebum through fadl, it will synthesis acetyl coenzyme a, which will change the structure of repressor, fadr losing its affinity to promoter. And skin-guardian can started to translate genes, make us looks fair and tender. ",Fatty acid metabolism,E.coli
NYMU-Taipei,2014,This team provide a Human Oral Protection for Everyone. ,"This team provide a Human Oral Protection for Everyone. HOPE, is an auto-adjustable bio-drug system with a concept of 4Cs, which are Control, Communication, Cure and Caution, taking cares the stages of prevention, cure, and notice, giving users a care-free oral cavity. 1. Control: control oral pathogens at a moderate level, which gives a lower harm without disturbing oral ecology. 2. Communication: specific targeting phage will send SOS signals for activating killing functions of designer probiotics. 3. Cure: probiotics are applied to cure cavities by biofilm degrading and acid decreasing. 4. Caution: A fruit smell is engineered in a native strain, which grows naturally according to dental decay.","Oral pathogens, SOS",Phage
SUSTC-Shenzhen,2014,"This project establishes a more effective HIV-curing system with less side-effects by integrating CRISPR/Cas system into human hematopoietic stem cells, which aims to protect the helper T cells from virus infection.","This project establishes a more effective HIV-curing system with less side-effects by integrating CRISPR/Cas system into human hematopoietic stem cells, which aims to protect the helper T cells from virus infection. The gRNA is designed to target the relative conserved regions in HIV viral genome and inactivate its biological activity. Since viral vectors seem to be of limited use in gene therapy strategies (e.g., potential pathogenicity), there is still a need for a simple, efficient nucleic acid transfer system which allows the target-cell-specific introduction of nucleic acids. By using non-viral DNA delivery system like A-B-toxin-GAL4 fusion protein, we can deliver plasmids encoding gRNA into the helper T cells and readily attack multiple HIV genome sites simultaneously and update the targets along with our knowledge of HIV.","CRISPR/Cas, HIV, viral vectors",Human cells
Tec-Monterrey,2014,"By harnessing the inherent ability of facultative anaerobic bacteria to colonize and grow in tumoral environments, this project aims to develop a bacterial cancer therapy. ","By harnessing the inherent ability of facultative anaerobic bacteria to colonize and grow in tumoral environments, this project aims to develop a bacterial cancer therapy. A genetically modified E. coli will have knockouts in the lpp and msbB genes, which encode for the Braun’s lipoprotein and for the myristic acid moiety transporter of the lipopolysaccharide respectively. These genes are known to trigger an immune response in the human body; by deleting them, the impact of a bacterial intravenous administration will be reduced. Furthermore, these bacteria will produce M13-modified bacteriophages under the control of a quorum sensing system. They will be able to bind to cancerous cells, internalize and transfect them with two different genes: apoptin, responsible for an apoptotic protein specific for cancerous cells and a survivin siRNA. The latter will inhibit the uncontrollable growth characteristic of cancer cells, making them more vulnerable to apoptosis.","Tumor, Immune response, siRNA",E.coli
Tufts,2014,This project aims to put this merRNA sequence into E. coli to increase biofilm formation. ,"A long, noncoding massively expressed regulatory RNA (merRNA) discovered in Bdellovibrio bacteriovorus is present in high levels during its dormant phase. The merRNA is believed to sequester cyclic-di-GMP.This project aims to put this merRNA sequence into E. coli. Constitutive expression of this merRNA transcript was shown to increase biofilm formation.  Earlier designs for phage delivery of the merRNA to disrupt biofilms inspired an investigation into the policy surrounding engineered bacteriophage. A proposal will be drafted for a silk bandage containing a phage cocktail which can prevent and treat infection by antibiotic-resistant bacteria.","merRNA, Biofilm",E.coli
Uppsala,2014,This team tries to treat gut diseases with engineered bacteria in a more efficient and precise way.,"This team tries to treat gut diseases with engineered bacteria in a more efficient and precise way. By developing a system that homes towards a target and secretes an affectant,  they put it into practice in a pinpointing pathogen-killing approach. In this prototype system, introduced in E. coli, they hijack the quorum sensing system of the gut pathogen Yersinia enterocolitica. Their bacteria will be able to sense the presence of the pathogen, accumulate in its vicinity and emit a target-specific bacteriocin, leaving the remaining gut flora intact. ","Gut diseases, Quorum sensing system",E.coli
 UT-Dallas,2014,This team envision a new paradigm for treating infections of the human gastrointestinal tract through Crispr/Cas9.,"This team envision a new paradigm for treating infections of the human gastrointestinal tract through exploitation of engineered probiotics that produce anti-microbials with high specificity for pathogens at the genome level. They use the CRISPR/Cas9 system with gRNA engineered to recognize genes from infectious bacteria. This CRISPR/Cas9 system will be delivered from the engineered E. coli to infectious bacteria using bacterial specific phages, minimizing any side-effects to native microbiota and human-host cells. As a proof-of-principle for this engineered probiotic, the pathogenic bacterium Vibrio cholera will be the first target.","CRISPR/Cas9, Gut diseases, Vibrio cholera",E.coli
Waterloo,2014,This team proposes to combat MRSA infection by delivering gene-silencing systems: CRISPRi and RNAi through a Staphylococcus conjugative plasmid. ,"Methicillin resistant Staphylococcus aureus (or MRSA) is an infection-causing pathogen that are well known for their resistance to all β-lactams due to the expression of the mecA gene from the mec cassette. This team proposes to combat this infection by delivering gene-silencing systems: CRISPRi and RNAi through a Staphylococcus conjugative plasmid. This will effectively disable the antibiotic resistant phenotype over time so that a β-lactam antibiotic can then be administered to kill the MRSA. As a proof of concept, their gene silencing mechanisms will target a YFP gene within a Staphylococcus population. They also improve the efficiency of an existing conjugation plasmid so as to develop a more effective means of delivery between Staphylococcal organisms.","MRSA, CRISPRi",Staphylococcus
